track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,1,144162,5465,138697,138697,10287606,20685358,32458907,362.85,16,15,1,0,512,4096,5465,type3_numa_node1,4,1,1.00,0.04,1,15.061468
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,2,146913,5940,140973,140973,9432650,18087241,25975731,393.88,16,15,1,0,512,4096,5940,type3_numa_node1,4,1,1.00,0.04,1,15.080574
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,3,144457,5234,139223,139223,10542506,17360819,29473005,347.40,16,15,1,0,512,4096,5234,type3_numa_node1,4,1,1.00,0.04,1,15.066118
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,4,145880,6323,139557,139557,7983986,17857630,28334008,419.55,16,15,1,0,512,4096,6323,type3_numa_node1,4,1,1.00,0.04,1,15.070973
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,5,143843,5253,138590,138590,10697231,17062720,26597136,348.58,16,15,1,0,512,4096,5253,type3_numa_node1,4,1,1.00,0.04,1,15.069553
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,1,233385,833,232552,232552,66585898,136489306,187093701,54.76,32,15,1,0,512,4096,833,type3_numa_node1,4,1,1.00,0.00,1,15.211230
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,2,227529,952,226577,226577,58423058,137174979,193912273,62.50,32,15,1,0,512,4096,952,type3_numa_node1,4,1,1.00,0.00,1,15.231335
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,3,227474,682,226792,226792,80046450,158193864,191013287,44.81,32,15,1,0,512,4096,682,type3_numa_node1,4,1,1.00,0.00,1,15.218150
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,4,248482,997,247485,247485,54564009,107890777,186194276,65.49,32,15,1,0,512,4096,997,type3_numa_node1,4,1,1.00,0.00,1,15.223268
track,load,seed,attempts,success,retry,backoff,delay_p50,delay_p95,delay_p99,goodput,threads,seconds,mem_node,cpu_node,mem_mb,touches_per_req,latency_samples,backend,queue_depth,device_workers,avg_cwnd,avg_inflight,max_inflight,elapsed_s
csma,100,5,242726,960,241766,241766,54572199,124519895,177718448,63.34,32,15,1,0,512,4096,960,type3_numa_node1,4,1,1.00,0.00,1,15.156133
